Profile Id,Opportunity Id,Opportunity Name,Opportunity Category,Opportunity End Date,Gender,City,State,Country,Zip Code,Graduation Date(YYYY MM),Current Student Status,Current/Intended Major,Status Description,Apply Date,Opportunity Start Date,Reward Amount,Skill Points Earned
,,,,,Male,,,Nigeria,,,,,,,,,
,,,,,Male,,,India,,,,,,,,,
,,,,,Unknown,,,India,,,,,,,,,
,,,,,Unknown,,,Albania,,,,,,,,,
,,,,,Female,,,Ghana,,,,,,,,,
,,,,,Female,,,India,,,,,,,,,
,,,,,Unknown,,,Nigeria,,,,,,,,,
,,,,,Unknown,,,United States,,,,,,,,,
,,,,,Male,,,Nigeria,,,,,,,,,
,,,,,Male,,,India,,,,,,,,,
,,,,,Unknown,,,India,,,,,,,,,
,,,,,Unknown,,,India,,,,,,,,,
,,,,,Female,,,India,,,,,,,,,
,,,,,Female,,,United States,,,,,,,,,
,,,,,Female,,,United States,,,,,,,,,
,,,,,Male,,,Ghana,,,,,,,,,
,,,,,Unknown,,,India,,,,,,,,,
,,,,,Unknown,,,Pakistan,,,,,,,,,
,,,,,Female,,,Nigeria,,,,,,,,,
,,,,,Unknown,,,India,,,,,,,,,
,,,,,Male,,,India,,,,,,,,,
,,,,,Female,,,Pakistan,,,,,,,,,
,,,,,Unknown,,,India,,,,,,,,,
,,,,,Female,,,India,,,,,,,,,
,,,,,Unknown,,,India,,,,,,,,,
,,,,,Female,,,Kenya,,,,,,,,,
,,,,,Unknown,,,Pakistan,,,,,,,,,
,,,,,Male,,,India,,,,,,,,,
,,,,,Male,,,Bangladesh,,,,,,,,,
,,,,,Male,,,Nigeria,,,,,,,,,
,,,,,Female,,,United States,,,,,,,,,
,,,,,Female,,,India,,,,,,,,,
,,,,,Unknown,,,India,,,,,,,,,
,,,,,Female,,,India,,,,,,,,,
,,,,,Male,,,India,,,,,,,,,
,,,,,Female,,,India,,,,,,,,,
,,,,,Male,,,India,,,,,,,,,
,,,,,Unknown,,,India,,,,,,,,,
,,,,,Unknown,,,Ecuador,,,,,,,,,
,,,,,Male,,,United States,,,,,,,,,
,,,,,Unknown,,,India,,,,,,,,,
,,,,,Female,,,India,,,,,,,,,
,,,,,Female,,,India,,,,,,,,,
,,,,,Unknown,,,India,,,,,,,,,
,,,,,Unknown,,,Egypt,,,,,,,,,
,,,,,Male,,,United States,,,,,,,,,
,,,,,Female,,,Nigeria,,,,,,,,,
,,,,,Male,,,Nigeria,,,,,,,,,
,,,,,Unknown,,,India,,,,,,,,,
,,,,,Male,,,India,,,,,,,,,
,,,,,Female,,,United States,,,,,,,,,
,,,,,Unknown,,,Nigeria,,,,,,,,,
,,,,,Male,,,Pakistan,,,,,,,,,
,,,,,Male,,,India,,,,,,,,,
,,,,,Female,,,India,,,,,,,,,
,,,,,Unknown,,,India,,,,,,,,,
,,,,,Female,,,India,,,,,,,,,
